"","playerID","POS","W","L","inducted","play_era","G","GS","CG","SHO","SV","IP","IPouts","H","ER","HR","BB","SO","BAOpp","ERA","SO%","BB%","SO:BB","IBB","WP","HBP","BK","BFP","GF","R","SH","SF","GIDP","InnOuts","PO","A","E","DP","Pitching Triple Crown","300_wins","3000_so","300_sv","ped_use"
"77","dierkla01","SP",139,123,"0","Free Agency",356,329,106,25,1,2333.8,7001,2130,857,184,711,1493,0.220474071007142,3.30491044648213,0.154538867612048,0.0735948659559052,2.09985935302391,43,104,50,10,9661,10,948,NA,NA,NA,7002,152,287,23,16,"0","No","No","No","No"
"78","dinnebi01","SP",170,177,"0","Dead Ball",391,352,306,24,7,3074.7,9224,2957,1029,78,829,1127,0.235655084475614,3.01200117084594,0.0898151099776857,0.0660663053873127,1.35946924004825,NA,68,76,5,12548,35,1411,NA,NA,NA,9225,133,800,56,19,"0","No","No","No","No"
"79","doakbi01","SP",169,157,"0","Live Ball",453,368,162,34,16,2782.6,8348,2676,920,71,851,1014,0.231048178207563,2.97563429885718,0.0875496460024175,0.0734760835779658,1.19153936545241,NA,38,65,4,11582,63,1184,NA,NA,NA,NA,103,934,43,33,"0","No","No","No","No"
"80","dobsopa01","RP",122,129,"0","Free Agency",414,279,74,14,19,2120.2,6361,2043,833,197,665,1301,0.230275022542831,3.5359871710216,0.146641118124436,0.0749549143372408,1.95639097744361,76,51,26,5,8872,51,939,NA,NA,NA,6359,142,289,19,14,"0","No","No","No","No"
"81","donovbi01","SP",185,139,"0","Dead Ball",378,327,289,35,8,2964.8,8894,2631,886,30,1059,1552,0.215638062453897,2.68955747436589,0.127202688304237,0.0867961642488321,1.46553352219075,NA,69,90,0,12201,49,1212,NA,NA,NA,NA,173,654,49,20,"0","No","No","No","No"
"82","downial01","SP",123,107,"0","Free Agency",405,317,73,24,3,2268.4,6805,1946,811,177,933,1639,0.204004612642835,3.21768647504849,0.171820945591781,0.0978089946535276,1.7566988210075,32,77,31,11,9539,37,938,NA,NA,NA,6807,72,368,18,23,"0","No","No","No","No"
"83","drabedo01","SP",155,134,"0","Steroids",398,387,53,21,0,2535,7605,2448,1052,246,704,1594,0.232743867655448,3.73491124260355,0.151549724282183,0.0669328769728085,2.26420454545455,56,80,53,6,10518,4,1141,97,69,177,7605,266,342,29,20,"0","No","No","No","No"
"84","drysddo01","SP",209,166,"1","Expansion",518,465,167,49,6,3432,10296,3084,1124,280,855,2486,0.218769951053416,2.94755244755245,0.176349577924381,0.0606512023834858,2.90760233918129,123,82,154,10,14097,34,1292,NA,NA,NA,10296,188,686,59,55,"0","No","No","No","No"
"85","dunnja01","SP",64,59,"0","Dead Ball",142,118,103,3,3,1076.8,3230,1217,492,30,334,171,0.259654363132067,4.11218424962853,0.0364838916151056,0.07126093449968,0.511976047904192,NA,15,54,0,4687,21,664,NA,NA,NA,3234,77,278,23,6,"0","No","No","No","No"
"86","earnsge01","SP",127,93,"0","Live Ball",319,249,115,18,12,1915.4,5746,1981,933,142,809,1002,0.23402244536326,4.38394069123943,0.118369757826344,0.0955699940933255,1.23856613102596,NA,55,25,2,8465,45,1063,NA,NA,NA,NA,71,371,30,17,"0","No","No","No","No"
"87","eckerde01","RP",197,171,"1","Steroids",1071,361,100,20,390,3285.6,9857,3076,1278,347,738,2401,0.227279444362347,3.50073046018992,0.17740505393823,0.054529333530368,3.25338753387534,91,28,75,16,13534,577,1382,109,93,146,9857,208,365,31,20,"0","No","No","Yes","No"
