"","playerID","fg_playerID","POS","inducted","play_era","PO","A","E","DP","Pitching Triple Crown","300_wins","3000_so","300_sv","ped_use","Name","W","L","ERA","WAR","G","GS","CG","ShO","SV","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","FIP","ERA-","FIP-","E-F","K/9+","BB/9+","K/BB+","H/9+","HR/9+","AVG+","WHIP+","BABIP+","LOB%+","all_star_appearances","num_gold_gloves","num_cy_young","num_mvp","num_ws_mvp"
"36","derripa01",1003224,"SP","0","Integration",153,656,26,30,"0","No","No","No","No","Paul Derringer",223,212,3.46,61.4,579,445,251,32,29,0,3645,15391,3912,1652,1401,158,761,0,32,50,2,1507,3.72,1.88,1.98,9.66,0.39,0.268,1.28,0.29,0.681,3.34,93,85,0.11,112,64,176,103,80,102,93,104,100,6,0,0,0,0
"37","eckerde01",1003660,"RP","1","Steroids",208,365,31,20,"0","No","No","Yes","No","Dennis Eckersley",197,171,3.5,61.8,1071,361,100,20,390,0,3285.2,13534,3076,1382,1279,347,738,91,75,28,16,2401,6.58,2.02,3.25,8.43,0.95,0.242,1.16,0.274,0.737,3.4,86,85,0.1,127,61,208,94,114,94,85,97,103,6,0,1,1,0
"38","grovele01",1005099,"SP","1","Integration",65,722,38,26,"2","Yes","No","No","No","Lefty Grove",300,141,3.06,87.4,616,457,298,35,55,0,3940.2,16633,3849,1594,1339,162,1187,0,42,51,1,2266,5.18,2.71,1.91,8.79,0.37,0.25,1.28,0.284,0.718,3.43,68,76,-0.37,162,76,212,89,69,91,85,98,109,6,0,0,1,0
"39","koufasa01",1007124,"SP","1","Expansion",64,228,14,13,"3","No","No","No","No","Sandy Koufax",165,87,2.76,54.5,397,314,137,40,9,0,2324.1,9497,1754,806,713,204,817,48,18,87,7,2396,9.28,3.16,2.93,6.79,0.79,0.202,1.11,0.256,0.774,2.69,75,75,0.07,167,102,160,78,90,81,84,93,107,6,0,3,1,2
"40","mcdowsa01",1008476,"SP","0","Expansion",79,328,33,23,"0","No","No","No","No","Sam McDowell",141,134,3.17,48.5,425,346,103,23,14,0,2492.1,10587,1948,999,879,164,1312,74,59,140,7,2453,8.86,4.74,1.87,7.03,0.59,0.211,1.31,0.27,0.751,3.06,90,83,0.12,154,145,107,85,73,88,102,101,102,6,0,0,0,0
"41","nathajo01",1122,"RP","0","Modern",50,82,7,6,"0","No","No","Yes","No","Joe Nathan",64,34,2.87,19.5,787,29,0,0,377,45,923.1,3771,690,317,294,84,344,31,23,47,2,976,9.51,3.35,2.84,6.73,0.82,0.203,1.12,0.259,0.788,3.36,67,79,-0.5,140,100,137,74,76,78,81,88,110,6,0,0,0,0
"42","palmeji01",1009973,"SP","1","Free Agency",292,577,34,53,"0","No","No","No","No","Jim Palmer",268,152,2.86,56.6,558,521,211,53,4,0,3948,16114,3349,1395,1253,303,1311,37,38,84,11,2212,5.04,2.99,1.69,7.63,0.69,0.227,1.18,0.249,0.773,3.5,79,95,-0.65,98,91,108,88,88,91,89,91,107,6,4,3,0,0
"43","papeljo01",5975,"RP","0","Modern",37,45,9,1,"0","No","No","Yes","No","Jonathan Papelbon",41,36,2.44,19.3,689,3,0,0,368,49,725.2,2938,572,226,197,57,185,18,34,14,1,808,10.02,2.29,4.37,7.09,0.71,0.21,1.04,0.278,0.794,2.81,58,69,-0.37,142,73,196,80,71,83,78,94,110,6,0,0,0,0
"44","reynoal01",1010860,"SP","0","Integration",111,349,32,22,"0","No","No","No","No","Allie Reynolds",182,107,3.3,27.4,434,309,137,36,49,0,2492.1,10660,2193,1026,915,133,1261,0,57,59,6,1423,5.14,4.55,1.13,7.92,0.48,0.235,1.39,0.265,0.747,3.72,90,99,-0.42,136,119,115,89,82,92,98,97,106,6,0,0,0,0
"45","ruffire01",1011296,"SP","1","Integration",153,677,27,51,"0","No","No","No","No","Red Ruffing",273,225,3.8,55,624,536,335,45,16,0,4344,18579,4284,2117,1833,254,1541,0,58,46,7,1987,4.12,3.19,1.29,8.88,0.53,0.252,1.34,0.273,0.681,4,91,96,-0.2,125,89,141,91,96,93,90,95,103,6,0,0,0,0
"46","schilcu01",73,"SP","0","Modern",183,297,22,19,"0","No","Yes","No","No","Curt Schilling",216,146,3.46,79.8,569,436,83,20,22,2,3261,13284,2998,1318,1253,347,711,43,52,72,8,3116,8.6,1.96,4.38,8.27,0.96,0.239,1.14,0.293,0.746,3.23,80,76,0.23,131,59,225,91,94,93,82,100,105,6,0,0,0,1
"47","suttebr01",1012743,"RP","1","Free Agency",90,145,9,9,"0","No","No","Yes","No","Bruce Sutter",68,71,2.83,19.2,661,0,0,0,300,0,1042,4251,879,370,328,77,309,83,13,37,7,861,7.44,2.67,2.79,7.59,0.67,0.224,1.14,0.268,0.76,2.94,75,80,-0.11,141,83,170,87,98,89,86,96,106,6,0,1,0,0
"48","valenfe01",1013327,"SP","0","Steroids",200,586,30,31,"0","No","No","No","No","Fernando Valenzuela",173,153,3.54,40.9,453,424,113,31,2,0,2930,12398,2718,1303,1154,226,1151,65,25,119,11,2074,6.37,3.54,1.8,8.35,0.69,0.242,1.32,0.279,0.724,3.61,96,96,-0.06,112,108,103,95,88,96,99,99,101,6,1,1,0,0
"49","wagnebi02",578,"RP","0","Modern",33,86,5,2,"0","No","No","Yes","No","Billy Wagner",47,40,2.31,24,853,0,0,0,422,40,903,3600,601,262,232,82,300,26,33,43,1,1196,11.92,2.99,3.99,5.99,0.82,0.184,1,0.261,0.82,2.73,54,63,-0.42,175,87,201,66,78,71,72,89,115,6,0,0,0,0
"50","waltebu01",1013583,"SP","0","Integration",153,746,24,76,"1","No","No","No","No","Bucky Walters",198,160,3.3,36.5,428,398,242,42,4,0,3104.2,13140,2990,1343,1139,154,1121,0,51,63,6,1107,3.21,3.25,0.99,8.67,0.45,0.25,1.32,0.265,0.714,3.92,87,99,-0.62,93,103,91,94,87,96,96,96,104,6,0,0,1,0
"51","buehrma01",225,"SP","0","Modern",182,608,22,53,"0","No","No","No","No","Mark Buehrle",214,160,3.81,52.3,518,493,33,10,0,0,3283.1,13705,3472,1542,1391,361,734,49,79,27,16,1870,5.13,2.01,2.55,9.52,0.99,0.269,1.28,0.292,0.726,4.11,87,93,-0.3,76,63,120,105,94,104,94,99,102,5,4,0,0,0
"52","coneda01",1680,"SP","0","Steroids",220,271,28,17,"0","No","No","No","No","David Cone",194,126,3.46,56,450,419,56,22,1,0,2898.2,12184,2504,1222,1115,258,1137,42,106,149,32,2668,8.28,3.53,2.35,7.77,0.8,0.229,1.26,0.28,0.746,3.57,84,85,-0.11,138,103,133,86,85,89,91,97,105,5,0,1,0,0
"53","finlech01",384,"SP","0","Steroids",122,325,46,25,"0","No","No","No","No","Chuck Finley",200,173,3.84,56.9,524,467,63,15,0,0,3197.2,13638,3069,1517,1366,304,1332,36,76,130,22,2610,7.35,3.75,1.96,8.64,0.86,0.251,1.38,0.297,0.731,3.91,87,88,-0.06,122,107,115,93,86,96,97,102,104,5,0,0,0,0
"54","jonesdo01",1006552,"RP","0","Steroids",60,152,21,14,"0","No","No","Yes","No","Doug Jones",69,79,3.3,23.1,846,4,0,0,303,0,1128.1,4754,1155,465,414,86,247,53,39,17,6,909,7.25,1.97,3.68,9.21,0.69,0.259,1.24,0.308,0.739,3.11,78,74,0.2,121,57,208,101,71,99,89,106,104,5,0,0,0,0
"55","leonadu02",1007533,"RP","0","Integration",174,719,32,41,"0","No","No","No","No","Dutch Leonard",191,181,3.25,51.8,640,374,192,30,44,0,3218.1,13487,3304,1432,1162,158,737,0,56,97,6,1170,3.27,2.06,1.59,9.24,0.44,0.26,1.26,0.277,0.688,3.43,84,86,-0.18,89,59,152,100,74,99,88,99,100,5,0,0,0,0
"56","morrija02",1009211,"SP","1","Steroids",387,413,29,36,"0","No","No","No","No","Jack Morris",254,186,3.9,55.8,549,527,175,28,0,0,3824,16120,3567,1815,1657,389,1390,99,58,205,27,2478,5.83,3.27,1.78,8.4,0.92,0.243,1.3,0.269,0.716,3.94,95,95,-0.04,110,98,112,93,102,94,94,95,101,5,0,0,0,1
"57","mungova01",1009321,"SP","0","Integration",99,448,23,22,"0","No","No","No","No","Van Mungo",120,115,3.47,29.9,364,259,123,20,16,0,2113,9033,1957,957,815,89,868,0,33,52,5,1242,5.29,3.7,1.43,8.34,0.38,0.241,1.34,0.275,0.696,3.69,91,92,-0.22,159,130,123,87,78,90,97,97,102,5,0,0,0,0
"58","mussimi01",837,"SP","1","Modern",231,497,15,37,"0","No","No","No","No","Mike Mussina",270,153,3.68,81.2,537,536,57,23,0,0,3562.2,14593,3460,1559,1458,376,785,29,60,71,1,2813,7.11,1.98,3.58,8.74,0.95,0.252,1.19,0.292,0.727,3.57,82,79,0.11,114,57,198,93,88,95,84,99,103,5,7,0,0,0
"59","niekrph01",1009583,"SP","1","Free Agency",386,878,37,83,"0","Yes","Yes","No","No","Phil Niekro",318,274,3.35,78.1,864,716,245,45,29,0,5404.1,22677,5044,2337,2012,482,1809,86,123,225,42,3342,5.57,3.01,1.85,8.4,0.8,0.243,1.27,0.27,0.736,3.62,86,95,-0.27,103,93,111,96,108,97,95,97,102,5,5,0,0,0
"60","pascuca02",1010039,"SP","0","Expansion",210,507,20,26,"0","No","No","No","No","Camilo Pascual",174,170,3.63,52,529,404,132,36,10,0,2930.2,12415,2703,1334,1183,256,1069,51,61,86,12,2167,6.65,3.28,2.03,8.3,0.79,0.24,1.29,0.276,0.719,3.32,97,87,0.32,127,95,134,98,91,98,97,103,99,5,0,0,0,0
"61","perryga01",1010210,"SP","1","Free Agency",349,877,38,58,"0","Yes","Yes","No","No","Gaylord Perry",314,265,3.11,100.1,777,690,303,53,11,0,5350.1,21954,4938,2128,1846,399,1379,164,108,160,6,3534,5.94,2.32,2.56,8.31,0.67,0.241,1.18,0.275,0.733,3.06,85,85,0.04,111,74,151,95,89,96,90,99,102,5,0,2,0,0
"62","roepr01",1011122,"SP","0","Integration",90,295,10,26,"0","No","No","No","No","Preacher Roe",127,84,3.43,29.3,333,261,101,17,10,0,1914.1,7904,1907,799,730,199,504,0,17,15,1,956,4.49,2.37,1.9,8.97,0.94,0.258,1.26,0.274,0.758,3.75,85,91,-0.32,121,68,178,99,124,100,90,101,108,5,0,0,0,0
"63","rogerst01",1011138,"SP","0","Free Agency",237,462,31,37,"0","No","No","No","No","Steve Rogers",158,152,3.18,49.8,399,393,129,37,2,0,2837.2,11703,2619,1122,1002,151,876,75,43,88,8,1621,5.14,2.78,1.85,8.31,0.48,0.243,1.23,0.274,0.726,3.2,87,88,-0.02,99,85,116,95,71,97,92,98,101,5,0,0,0,0
"64","stottme01",1012579,"SP","0","Expansion",242,570,26,38,"0","No","No","No","No","Mel Stottlemyre",164,139,2.97,34,360,356,152,40,1,0,2661.1,10972,2435,1003,878,171,809,75,44,57,1,1257,4.25,2.74,1.55,8.23,0.58,0.241,1.22,0.26,0.75,3.36,90,98,-0.4,75,84,89,100,74,101,96,98,102,5,0,0,0,0
"65","warnelo01",1013637,"SP","0","Integration",126,538,8,31,"0","No","No","No","No","Lon Warneke",192,121,3.18,36.1,445,343,192,30,13,0,2782.1,11608,2726,1164,984,175,739,0,27,50,1,1140,3.69,2.39,1.54,8.82,0.57,0.251,1.25,0.268,0.717,3.81,83,95,-0.63,111,83,132,93,113,95,91,95,105,5,0,0,0,0
"66","wilheho01",1013945,"RP","1","Expansion",114,373,11,17,"0","No","No","No","No","Hoyt Wilhelm",143,122,2.52,27.3,1070,52,20,5,227,0,2254.1,9164,1757,773,632,150,778,61,62,90,4,1610,6.43,3.11,2.07,7.01,0.6,0.211,1.12,0.245,0.764,3.06,68,81,-0.53,125,92,135,82,68,85,84,91,106,5,0,0,0,0
"67","chandsp01",1002133,"SP","0","Integration",106,385,10,28,"0","No","No","No","No","Spud Chandler",109,43,2.84,24.1,211,184,109,26,6,0,1485,6102,1327,549,468,64,463,0,19,20,5,614,3.72,2.81,1.33,8.04,0.39,0.236,1.21,0.256,0.733,3.43,73,88,-0.6,99,76,130,88,72,91,85,92,106,4,0,0,1,0
"68","coopemo01",1002598,"SP","0","Integration",50,270,16,20,"0","No","No","No","No","Mort Cooper",128,75,2.97,32.9,295,239,128,33,14,0,1840.2,7648,1666,703,607,85,571,0,28,28,7,913,4.46,2.79,1.6,8.15,0.42,0.236,1.22,0.261,0.728,3.28,80,84,-0.31,131,86,154,91,84,93,89,96,104,4,0,0,1,0
"69","cuellmi01",1002853,"SP","0","Free Agency",108,453,30,33,"0","No","No","No","No","Mike Cuellar",185,130,3.14,40.6,453,379,172,36,11,0,2808,11505,2538,1130,979,222,822,61,12,53,6,1632,5.23,2.63,1.99,8.13,0.71,0.238,1.2,0.263,0.732,3.29,91,94,-0.15,95,83,115,95,94,97,92,96,100,4,0,1,0,0
"70","deandi01",1003106,"SP","1","Integration",76,283,15,15,"0","No","No","No","No","Dizzy Dean",150,83,3.02,40.4,317,230,154,26,30,0,1967.1,8171,1919,774,661,95,453,0,27,12,5,1163,5.32,2.07,2.57,8.78,0.43,0.25,1.21,0.284,0.717,3.29,77,78,-0.27,162,77,211,91,87,93,87,99,106,4,0,0,1,0
