"","playerID","fg_playerID","POS","inducted","play_era","GIDP","GS","InnOuts","PO","A","E","DP","PB","WP","SB_against","CS_for","ZR","Triple Crown","500_hr","3000_hit","1500_runs","1500_rbi","2500_G","ped_use","Name","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","wOBA","WAR","wRC+","Spd","Def","AVG+","BB%+","K%+","OBP+","SLG+","ISO+","BABIP+","all_star_appearances","num_gold_gloves","num_mvp","num_ws_mvp","silver_slugger","hank_aaron_award"
"53","sandbry01",1011411,"2B","1","Steroids",139,2096,55266,3892,6648,120,1177,0,0,0,0,0,"0","No","No","No","No","No","No","Ryne Sandberg",2164,8385,9282,2386,1625,403,76,282,1318,1061,761,59,1260,34,71,31,139,344,107,0.285,0.082,0.136,0.6,0.344,0.452,0.795,0.167,0.304,0.351,60.9,115,6.2,103.9,108,93,95,104,115,128,105,10,9,1,0,7,0
"54","schoere01",1011600,"2B","1","Expansion",180,748,19915,5045,5466,192,1409,0,0,0,0,0,"0","No","No","No","No","No","No","Red Schoendienst",2216,8479,9222,2449,1860,427,78,84,1223,773,606,15,346,21,19,97,180,89,27,0.289,0.066,0.038,1.75,0.337,0.387,0.724,0.098,0.293,0.333,37.6,94,4.5,137.5,107,71,39,99,95,71,105,10,0,0,0,0,0
"55","slaugen01",1012060,"RF","1","Integration",139,227,6507,3925,152,82,35,0,0,0,0,0,"0","No","No","No","No","No","No","Enos Slaughter",2380,7946,9084,2383,1653,413,148,169,1247,1304,1018,11,538,37,10,73,139,71,15,0.3,0.112,0.059,1.89,0.382,0.453,0.834,0.153,0.305,0.384,51.4,125,5.1,-71.5,112,119,66,112,115,124,109,10,0,0,0,0,0
"56","conceda01",1002494,"SS","0","Free Agency",266,2250,60620,4245,7024,326,1390,0,0,0,0,0,"0","No","No","No","No","No","No","Dave Concepcion",2488,8723,9641,2326,1788,389,48,101,993,950,736,93,1186,21,86,74,266,321,109,0.267,0.076,0.123,0.62,0.322,0.357,0.679,0.09,0.296,0.306,39.7,88,5.1,172.3,101,86,97,97,92,73,103,9,5,0,0,2,0
"57","doerrbo01",1003355,"2B","1","Integration",182,0,0,4928,5710,214,1507,0,0,0,0,0,"0","No","No","No","No","No","No","Bobby Doerr",1865,7093,8028,2042,1349,381,89,223,1094,1247,809,0,608,11,0,115,182,54,64,0.288,0.101,0.076,1.33,0.362,0.461,0.823,0.173,0.29,0.38,53,115,4.3,116,106,98,92,103,117,143,102,9,0,0,0,0,0
"58","foxxji01",1004285,"1B","1","Integration",69,0,0,17795,1561,192,1553,9,0,0,0,0,"1","Yes","No","Yes","Yes","No","No","Jimmie Foxx",2317,8134,9670,2646,1529,458,125,534,1751,1922,1452,0,1311,13,0,71,69,87,72,0.325,0.15,0.136,1.11,0.428,0.609,1.038,0.284,0.336,0.461,101.4,156,5.1,-54.2,114,157,185,119,146,216,112,9,0,3,0,0,0
"59","gordojo01",1004874,"2B","1","Integration",159,0,0,3826,4726,264,1196,0,0,0,0,0,"0","No","No","No","No","No","No","Joe Gordon",1566,5707,6536,1530,961,264,52,253,914,975,759,0,702,29,0,41,159,89,60,0.268,0.116,0.107,1.08,0.357,0.466,0.822,0.197,0.269,0.38,60.4,120,4.7,209.5,98,112,131,102,117,159,94,9,0,1,0,0,0
"60","guerrvl01",778,"RF","1","Modern",277,1603,41352,3169,126,125,32,0,0,0,0,0,"0","No","No","No","No","No","No","Vladimir Guerrero",2147,8155,9059,2590,1618,477,46,449,1328,1496,737,250,985,103,64,0,278,181,94,0.318,0.081,0.109,0.75,0.379,0.553,0.931,0.235,0.316,0.39,54.5,136,4.5,-115,118,92,65,112,129,147,105,9,0,1,0,8,0
"61","howarel01",1006079,"LF","0","Expansion",157,1374,36694,7572,541,68,160,75,248,285,223,20,"0","No","No","No","No","No","No","Elston Howard",1625,5443,5927,1491,1047,223,53,168,635,775,376,82,786,27,52,29,157,10,14,0.274,0.063,0.135,0.47,0.321,0.427,0.748,0.153,0.292,0.327,31.3,105,3.2,88.1,106,70,106,98,108,111,106,9,2,1,0,0,0
"62","lynnfr01",1007872,"CF","0","Free Agency",149,1765,46578,4556,114,55,33,0,0,0,0,0,"0","No","No","No","No","No","No","Fred Lynn",1969,6925,7923,1960,1223,388,43,306,1063,1111,857,77,1116,30,86,25,149,72,54,0.283,0.108,0.141,0.77,0.36,0.484,0.845,0.201,0.296,0.372,49.2,129,3.7,-53.2,108,127,107,110,123,152,104,9,4,1,0,0,0
