"","playerID","fg_playerID","G","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","PA","BA","1B","SLG","OBP","OPS","SO%","BB%","BB:SO","Range","POS","GS","InnOuts","PO","A","E","DP","PB","WP","SB_against","CS_for","ZR","Triple Crown","500_hr","3000_hit","1500_runs","1500_rbi","2500_G","ped_use","inducted","play_era","ISO","BABIP","wOBA","WAR","wRC+","all_star_appearances","num_gold_gloves","num_mvp","num_ws_mvp","silver_slugger","hank_aaron_award"
"24","braunry02",3410,1766,6622,1080,1963,408,49,352,1154,216,60,586,1363,56,77,0,44,179,7329,0.296436122017517,1154,0.532316520688614,0.358302633374267,0.89061915406288,0.185973529813071,0.079956337835994,0.42993396918562,1.72366930917327,"LF",1634,42156,2797,247,58,33,0,0,0,0,0,"0","No","No","No","No","No","Yes",0,"Modern",NA,NA,NA,NA,NA,5,NA,1,NA,4,NA
"25","gonzaad01",1908,1929,7139,997,2050,437,12,317,1202,6,7,782,1401,158,45,4,73,207,8039,0.287155063734417,1284,0.484941868609049,0.357880333374798,0.842822201983847,0.174275407388979,0.0972757805697226,0.558172733761599,8.4888543286677,"1B",1802,47845,14983,1392,79,1382,0,0,0,0,0,"0","No","No","No","No","No","No",0,"Modern",NA,NA,NA,NA,NA,5,4,NA,NA,2,NA
"26","jonesad01",6368,1823,7009,963,1939,336,29,282,945,97,35,340,1395,20,103,8,55,190,7507,0.276644314452846,1292,0.453559708945641,0.317303849740242,0.770863558685884,0.185826561875583,0.0452910616757693,0.243727598566308,2.3993417443774,"CF",1729,45748,4272,102,64,26,0,0,0,0,0,"0","No","No","No","No","No","No",0,"Modern",NA,NA,NA,NA,NA,5,2,NA,NA,1,NA
"27","martijd02",6184,1409,5286,790,1522,339,21,282,899,25,11,518,1424,53,32,0,50,167,5886,0.287930382141506,880,0.520052970109724,0.352021746517159,0.872074716626883,0.241930003397893,0.0880054366292898,0.36376404494382,1.05677785663591,"RF",835,21684,1438,51,25,12,0,0,0,0,0,"0","No","No","No","No","No","No",0,"Modern",NA,NA,NA,NA,NA,5,NA,NA,NA,3,1
"28","martivi01",393,1973,7297,914,2153,423,3,246,1178,7,7,730,891,119,53,0,86,264,8166,0.295052761408798,1481,0.454981499246266,0.359539554249326,0.814521053495592,0.109110947832476,0.0893950526573598,0.819304152637486,3.7181956411556,"C",1024,26747,6888,448,53,198,37,0,596,183,0,"0","No","No","No","No","No","No",0,"Modern",NA,NA,NA,NA,NA,5,NA,NA,NA,2,NA
"29","mccutan01",9847,1895,7035,1118,1948,392,49,287,1002,205,84,983,1542,67,81,3,66,118,8165,0.276901208244492,1220,0.468941009239517,0.368891610532762,0.837832619772279,0.188854868340478,0.120391916717697,0.637483787289235,1.97097625329815,"CF",1749,45857,3656,79,44,17,0,0,0,0,0,"0","No","No","No","No","No","No",0,"Modern",NA,NA,NA,NA,NA,5,1,1,NA,4,NA
"30","stantmi03",4949,1434,5237,815,1383,272,11,378,971,42,15,697,1696,83,49,0,36,125,6019,0.264082489975177,722,0.536757685697919,0.353713241402226,0.890470927100145,0.281774381126433,0.115799966771889,0.410966981132075,1.59972105997211,"RF",1087,28546,2226,68,46,9,0,0,0,0,0,"0","No","No","No","No","No","No",0,"Modern",NA,NA,NA,NA,NA,5,NA,1,NA,2,2
"31","tulowtr01",3531,1291,4804,762,1391,264,24,225,780,57,32,511,900,48,47,10,43,146,5405,0.28955037468776,878,0.495004163197336,0.36059204440333,0.855596207600666,0.166512488436633,0.0945420906567993,0.567777777777778,4.51975213013168,"SS",1255,32835,1946,3889,91,871,0,0,0,0,0,"0","No","No","No","No","No","No",0,"Modern",NA,NA,NA,NA,NA,5,2,NA,NA,2,NA
"32","beltrad01",639,2933,11068,1524,3166,636,38,477,1707,121,42,848,1732,112,97,14,103,279,12116,0.286049873509216,2015,0.479671123960969,0.339303400462199,0.818974524423167,0.142951469131727,0.0699900957411687,0.489607390300231,2.51858165700648,"3B",2713,71565,2200,5187,311,523,0,0,0,0,0,"0","No","Yes","Yes","Yes","Yes","No",0,"Modern",NA,NA,NA,NA,NA,4,5,NA,NA,4,NA
"33","blackch02",7859,1404,5357,880,1590,286,58,207,709,138,56,403,1001,33,93,26,34,63,5887,0.29680791487773,1039,0.487773007280194,0.354340071343639,0.842113078623833,0.170035671819263,0.0684559198233396,0.402597402597403,1.75712250712251,"CF",1197,31493,2405,62,32,19,0,0,0,0,0,"0","No","No","No","No","No","No",0,"Modern",NA,NA,NA,NA,NA,4,NA,NA,NA,2,NA
