"","playerID","fg_playerID","POS","inducted","play_era","G","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","GS","InnOuts","PO","A","E","DP","PB","WP","SB_against","CS_for","ZR","PA","BA","1B","SLG","OBP","OPS","SO%","BB%","BB:SO","Range","Triple Crown","500_hr","3000_hit","1500_runs","1500_rbi","2500_G","ped_use","ISO","BABIP","wOBA","WAR","wRC+","all_star_appearances","num_gold_gloves","num_mvp","num_ws_mvp","silver_slugger","hank_aaron_award"
"174","hernake01",1005706,"1B","0","Free Agency",2088,7370,1124,2182,426,60,162,1071,98,63,1070,1012,130,32,10,71,161,1948,51952,17916,1682,115,1654,0,0,0,0,0,8543,0.29606512890095,1534,0.436092265943012,0.384408287486831,0.820500553429844,0.118459557532483,0.125248741659838,1.05731225296443,9.3860153256705,"0","No","No","No","No","No","No",0.14,0.322,0.365,59.4,131,5,11,1,NA,2,NA
"175","hunteto01",731,"CF","0","Modern",2372,8857,1296,2452,498,39,353,1391,195,99,661,1741,52,97,6,71,262,2209,57673,5263,131,52,30,0,0,0,0,0,9686,0.276843174889918,1562,0.461442926498815,0.33140615321082,0.792849079709634,0.179743960355152,0.0682428246954367,0.379666858127513,2.27403035413153,"0","No","No","No","No","No","No",0.185,0.307,0.342,43,110,5,9,NA,NA,2,NA
"176","jonesan01",96,"CF","0","Steroids",2196,7599,1204,1933,383,36,434,1289,152,59,891,1748,69,97,6,71,192,1924,51235,4986,125,50,35,0,0,0,0,0,8658,0.254375575733649,1080,0.485590209238058,0.337375837375837,0.822966046613895,0.201894201894202,0.102910602910603,0.509725400457666,2.32741347905282,"0","No","No","No","No","No","No",0.231,0.273,0.352,67,111,5,10,NA,NA,1,1
"177","kellech01",1006768,"OF","0","Integration",1170,3790,725,1085,166,72,189,760,45,23,784,499,0,10,20,0,50,0,0,2235,46,46,6,0,0,0,0,0,4584,0.286279683377309,658,0.517678100263852,0.409904013961606,0.927582114225458,0.108856893542757,0.171029668411867,1.57114228456914,1.94957264957265,"0","No","No","No","No","No","No",0.231,0.289,0.429,45.7,151,5,NA,NA,NA,NA,NA
"178","kentje01",1119,"2B","0","Modern",2298,8498,1320,2461,560,47,377,1518,94,60,801,1522,61,125,10,103,224,2215,57179,4816,5918,236,1362,0,0,0,0,0,9527,0.289597552365262,1477,0.499646975759002,0.355515902172772,0.855162877931774,0.159756481578671,0.0840768342605227,0.526281208935611,4.6710182767624,"0","No","No","No","Yes","No","No",0.21,0.311,0.367,56,123,5,NA,1,NA,4,NA
"179","mcdougi01",1008471,"2B","0","Integration",1336,4676,697,1291,187,51,112,576,45,44,559,623,8,36,97,27,93,828,22323,2352,3373,149,815,0,0,0,0,0,5298,0.276090675791275,941,0.409751924721985,0.355983389958475,0.76573531468046,0.11759154397886,0.105511513778784,0.897271268057785,4.28517964071856,"0","No","No","No","No","No","No",0.134,0.297,0.349,39.7,114,5,NA,NA,NA,NA,NA
"180","mcgrifr01",293,"1B","0","Steroids",2460,8757,1349,2490,441,24,493,1550,72,38,1305,1882,171,39,2,71,226,2223,58206,18985,1447,167,1775,0,0,0,0,0,10172,0.284343953408702,1532,0.509078451524495,0.376917027133307,0.885995478657802,0.185017695635077,0.128293354305938,0.693411264612115,8.30569105691057,"0","No","No","No","Yes","No","No",0.225,0.309,0.383,56.9,134,5,NA,NA,NA,3,NA
"181","murcebo01",1009338,"RF","0","Free Agency",1908,6730,972,1862,285,45,252,1043,127,75,862,841,96,27,18,81,124,1660,44078,3352,293,90,48,0,0,0,0,0,7700,0.27667161961367,1280,0.444725111441308,0.357272727272727,0.801997838714035,0.109220779220779,0.111948051948052,1.02497027348395,1.91037735849057,"0","No","No","No","No","No","No",0.168,0.282,0.359,32.6,124,5,1,NA,NA,NA,NA
"182","nichobi01",1009554,"OF","0","Integration",1677,5546,837,1484,272,60,235,948,27,1,800,828,0,52,20,0,61,0,0,2954,118,67,20,0,0,0,0,0,6398,0.267580238009376,917,0.465380454381536,0.365114098155674,0.83049455253721,0.129415442325727,0.125039074710847,0.966183574879227,1.83184257602862,"0","No","No","No","No","No","No",0.198,0.279,0.387,40.5,131,5,NA,NA,NA,NA,NA
"183","otisam01",1009893,"CF","0","Free Agency",1998,7299,1092,2020,374,66,193,1007,341,93,757,1008,53,33,54,103,158,1869,49528,4940,129,48,35,0,0,0,0,0,8192,0.276750239758871,1387,0.425400739827374,0.343017578125,0.768418317952374,0.123046875,0.0924072265625,0.750992063492063,2.53703703703704,"0","No","No","No","No","No","No",0.149,0.295,0.345,40.2,115,5,3,NA,NA,NA,NA
